cellID cellType sampleID
cell_94 M_M patient_1
cell_95 M_M patient_1
cell_96 M_M patient_1
cell_97 M_M patient_1
cell_98 M_M patient_1
cell_99 M_M patient_1
cell_100 M_M patient_1
cell_101 M_M patient_1
cell_102 M_M patient_1
cell_103 M_M patient_1
cell_104 M_M patient_1
cell_105 M_M patient_1
cell_106 M_M patient_1
cell_107 M_M patient_1
cell_108 M_M patient_1
cell_109 M_M patient_1
cell_110 M_M patient_1
cell_111 M_M patient_1
cell_112 M_M patient_1
cell_113 M_M patient_1
cell_114 M_M patient_1
cell_115 M_M patient_1
cell_116 M_M patient_1
cell_117 M_M patient_1
cell_118 M_M patient_1
cell_119 M_M patient_1
cell_120 M_M patient_1
cell_121 M_M patient_1
cell_122 M_M patient_1
cell_123 M_M patient_1
cell_124 M_M patient_1
cell_125 M_M patient_1
cell_126 M_M patient_1
cell_127 M_M patient_1
cell_128 M_M patient_1
cell_129 M_M patient_1
cell_130 M_M patient_1
cell_131 M_M patient_1
cell_132 M_M patient_1
cell_133 M_M patient_1
cell_134 M_M patient_1
cell_135 M_M patient_1
cell_136 M_M patient_1
cell_137 M_M patient_1
cell_138 M_M patient_1
cell_139 M_M patient_1
cell_140 M_M patient_1
cell_141 M_M patient_1
cell_142 M_M patient_1
cell_143 M_M patient_1
cell_144 M_M patient_1
cell_145 M_M patient_1
cell_146 M_M patient_1
cell_147 M_M patient_1
cell_148 M_M patient_1
cell_149 M_M patient_1
cell_150 M_M patient_1
cell_151 M_M patient_1
cell_152 M_M patient_1
cell_153 M_M patient_1
cell_154 M_M patient_1
cell_155 M_M patient_1
cell_156 M_M patient_1
cell_157 M_M patient_1
cell_158 M_M patient_1
cell_159 M_M patient_1
cell_160 M_M patient_1
cell_161 M_M patient_1
cell_162 M_M patient_1
cell_163 M_M patient_1
cell_164 M_M patient_1
cell_165 M_M patient_1
cell_166 M_M patient_1
cell_167 M_M patient_1
cell_168 M_M patient_1
cell_169 M_M patient_1
cell_170 M_M patient_1
cell_171 M_M patient_1
cell_172 M_M patient_1
cell_173 M_M patient_1
cell_174 M_M patient_1
cell_175 M_M patient_1
cell_176 M_M patient_1
cell_177 M_M patient_1
cell_178 M_M patient_1
cell_179 M_M patient_1
cell_180 M_M patient_1
cell_181 M_M patient_1
cell_182 M_M patient_1
cell_183 M_M patient_1
cell_184 M_M patient_1
cell_185 M_M patient_1
cell_186 M_M patient_1
cell_187 M_M patient_1
cell_188 M_M patient_1
cell_189 M_M patient_1
cell_190 M_M patient_1
cell_191 M_M patient_1
cell_192 M_M patient_1
cell_193 M_M patient_1
cell_194 M_M patient_1
cell_195 M_M patient_1
cell_196 M_M patient_1
cell_197 M_M patient_1
cell_198 M_M patient_1
cell_199 M_M patient_1
cell_200 M_M patient_1
cell_201 M_M patient_1
cell_202 M_M patient_1
cell_203 M_M patient_1
cell_204 M_M patient_1
cell_205 M_M patient_1
cell_206 M_M patient_1
cell_207 M_M patient_1
cell_208 M_M patient_1
cell_209 M_M patient_1
cell_210 M_M patient_1
cell_211 M_M patient_1
cell_212 M_M patient_1
cell_213 M_M patient_1
cell_214 M_M patient_1
cell_215 M_M patient_1
cell_216 M_M patient_1
cell_217 M_M patient_1
cell_218 M_M patient_1
cell_219 M_M patient_1
cell_220 M_M patient_1
cell_221 M_M patient_1
cell_222 M_M patient_1
cell_223 M_M patient_1
cell_224 M_M patient_1
cell_225 M_M patient_1
cell_226 M_M patient_1
cell_227 M_M patient_1
cell_228 M_M patient_1
cell_229 M_M patient_1
cell_230 M_M patient_1
cell_231 M_M patient_1
cell_232 M_M patient_1
cell_233 M_M patient_1
cell_234 M_M patient_1
cell_235 M_M patient_1
cell_236 M_M patient_1
cell_237 M_M patient_1
cell_238 M_M patient_1
cell_239 M_M patient_1
cell_240 M_M patient_1
cell_241 M_M patient_1
cell_242 M_M patient_1
cell_243 M_M patient_1
cell_244 M_M patient_1
cell_245 M_M patient_1
cell_246 M_M patient_1
cell_247 M_M patient_1
cell_248 M_M patient_1
cell_249 M_M patient_1
cell_250 M_M patient_1
cell_251 M_M patient_1
cell_252 M_M patient_1
cell_253 M_M patient_1
cell_254 M_M patient_1
cell_255 M_M patient_1
cell_256 M_M patient_1
cell_257 M_M patient_1
cell_258 M_M patient_1
cell_259 M_M patient_1
cell_260 M_M patient_1
cell_261 M_M patient_1
cell_262 M_M patient_1
cell_263 M_M patient_1
cell_264 M_M patient_1
cell_265 M_M patient_1
cell_266 M_M patient_1
cell_267 M_M patient_1
cell_268 M_M patient_1
cell_269 M_M patient_1
cell_270 M_M patient_1
cell_271 M_M patient_1
cell_272 M_M patient_1
cell_273 M_M patient_1
cell_274 M_M patient_1
cell_275 M_M patient_1
cell_276 M_M patient_1
cell_277 M_M patient_1
cell_278 M_M patient_1
cell_279 M_M patient_1
cell_280 M_M patient_1
cell_281 M_M patient_1
cell_282 M_M patient_1
cell_283 M_M patient_1
cell_284 M_M patient_1
cell_285 M_M patient_1
cell_286 M_M patient_1
cell_287 M_M patient_1
cell_288 M_M patient_1
cell_289 M_M patient_1
cell_290 M_M patient_1
cell_291 M_M patient_1
cell_292 M_M patient_1
cell_293 M_M patient_1
cell_294 M_M patient_1
cell_295 M_M patient_1
cell_296 M_M patient_1
cell_297 M_M patient_1
cell_298 M_M patient_1
cell_299 M_M patient_1
cell_300 M_M patient_1
cell_301 M_M patient_1
cell_302 M_M patient_1
cell_303 M_M patient_1
cell_304 M_M patient_1
cell_305 M_M patient_1
cell_306 M_M patient_1
cell_307 M_M patient_1
cell_308 M_M patient_1
cell_309 M_M patient_1
cell_310 M_M patient_1
cell_311 M_M patient_1
cell_312 M_M patient_1
cell_313 M_M patient_1
cell_314 M_M patient_1
cell_315 M_M patient_1
cell_316 M_M patient_1
cell_317 M_M patient_1
cell_318 M_M patient_1
cell_319 M_M patient_1
cell_320 M_M patient_1
cell_321 M_M patient_1
cell_322 M_M patient_1
cell_323 M_M patient_1
cell_324 M_M patient_1
cell_325 M_M patient_1
cell_326 M_M patient_1
cell_327 M_M patient_1
cell_328 M_M patient_1
cell_329 M_M patient_1
cell_330 M_M patient_1
cell_331 M_M patient_1
cell_332 M_M patient_1
cell_333 M_M patient_1
cell_334 M_M patient_1
cell_335 M_M patient_1
cell_336 M_M patient_1
cell_337 M_M patient_1
cell_338 M_M patient_1
cell_339 M_M patient_1
cell_340 M_M patient_1
cell_341 M_M patient_1
cell_342 M_M patient_1
cell_343 M_M patient_1
cell_344 M_M patient_1
cell_345 M_M patient_1
cell_346 M_M patient_1
cell_347 M_M patient_1
cell_348 M_M patient_1
cell_349 M_M patient_1
cell_350 M_M patient_1
cell_351 M_M patient_1
cell_352 M_M patient_1
cell_353 M_M patient_1
cell_354 M_M patient_1
cell_355 M_M patient_1
cell_356 M_M patient_1
cell_357 M_M patient_1
cell_358 M_M patient_1
cell_359 M_M patient_1
cell_360 M_M patient_1
cell_361 M_M patient_1
cell_362 M_M patient_1
cell_363 M_M patient_1
cell_364 M_M patient_1
cell_365 M_M patient_1
cell_366 M_M patient_1
cell_367 M_M patient_1
cell_368 M_M patient_1
cell_369 M_M patient_1
cell_370 M_M patient_1
cell_371 M_M patient_1
cell_372 M_M patient_1
cell_373 M_M patient_1
cell_374 M_M patient_1
cell_375 M_M patient_1
cell_376 M_M patient_1
cell_377 M_M patient_1
cell_378 M_M patient_1
cell_379 M_M patient_1
cell_380 M_M patient_1
cell_381 M_M patient_1
cell_382 M_M patient_1
cell_383 M_M patient_1
cell_384 M_M patient_1
cell_385 M_M patient_1
cell_386 M_M patient_1
cell_387 M_M patient_1
cell_388 M_M patient_1
cell_389 M_M patient_1
cell_390 M_M patient_1
cell_391 M_M patient_1
cell_392 M_M patient_1
cell_393 M_M patient_1
cell_394 M_M patient_1
cell_395 M_M patient_1
cell_396 M_M patient_1
cell_397 M_M patient_1
cell_398 M_M patient_1
cell_399 M_M patient_1
cell_400 M_M patient_1
cell_401 M_M patient_1
cell_402 M_M patient_1
cell_403 M_M patient_1
cell_404 M_M patient_1
cell_405 M_M patient_1
cell_406 M_M patient_1
cell_407 M_M patient_1
cell_408 M_M patient_1
cell_409 M_M patient_1
cell_410 M_M patient_1
cell_411 M_M patient_1
cell_412 M_M patient_1
cell_413 M_M patient_1
cell_414 M_M patient_1
cell_415 M_M patient_1
cell_416 M_M patient_1
cell_417 M_M patient_1
cell_418 M_M patient_1
cell_419 M_M patient_1
cell_420 M_M patient_1
cell_421 M_M patient_1
cell_422 M_M patient_1
cell_423 M_M patient_1
cell_424 M_M patient_1
cell_425 M_M patient_1
cell_426 M_M patient_1
cell_427 M_M patient_1
cell_428 M_M patient_1
cell_429 M_M patient_1
cell_430 M_M patient_1
cell_431 M_M patient_1
cell_432 M_M patient_1
cell_433 M_M patient_1
cell_434 M_M patient_1
cell_435 M_M patient_1
cell_436 M_M patient_1
cell_437 M_M patient_1
cell_438 M_M patient_1
cell_439 M_M patient_1
cell_440 M_M patient_1
cell_441 M_M patient_1
cell_442 M_M patient_1
cell_443 M_M patient_1
cell_444 M_M patient_1
cell_445 M_M patient_1
cell_446 M_M patient_1
cell_447 M_M patient_1
cell_448 M_M patient_1
cell_449 M_M patient_1
cell_450 M_M patient_1
cell_451 M_M patient_1
cell_452 M_M patient_1
cell_453 M_M patient_1
cell_454 M_M patient_1
cell_455 M_M patient_1
cell_456 M_M patient_1
cell_457 M_M patient_1
cell_458 M_M patient_1
cell_459 M_M patient_1
cell_460 M_M patient_1
cell_461 M_M patient_1
cell_462 M_M patient_1
cell_463 M_M patient_1
cell_464 M_M patient_1
cell_465 M_M patient_1
cell_466 M_M patient_1
cell_467 M_M patient_1
cell_468 M_M patient_1
cell_469 M_M patient_1
cell_470 M_M patient_1
cell_471 M_M patient_1
cell_472 M_M patient_1
cell_473 M_M patient_1
cell_474 M_M patient_1
cell_475 M_M patient_1
cell_476 M_M patient_1
cell_477 M_M patient_1
cell_478 M_M patient_1
cell_479 M_M patient_1
cell_480 M_M patient_1
cell_481 M_M patient_1
cell_482 M_M patient_1
cell_483 M_M patient_1
cell_484 M_M patient_1
cell_485 M_M patient_1
cell_486 M_M patient_1
cell_487 M_M patient_1
cell_488 M_M patient_1
cell_489 M_M patient_1
cell_490 M_M patient_1
cell_491 M_M patient_1
cell_492 M_M patient_1
cell_493 M_M patient_1
cell_494 M_M patient_1
cell_495 M_M patient_1
cell_496 M_M patient_1
cell_497 M_M patient_1
cell_498 M_M patient_1
cell_499 M_M patient_1
cell_500 M_M patient_1
cell_501 M_M patient_1
cell_502 M_M patient_1
cell_503 M_M patient_1
cell_504 M_M patient_1
cell_505 M_M patient_1
cell_506 M_M patient_1
cell_507 M_M patient_1
cell_508 M_M patient_1
cell_509 M_M patient_1
cell_510 M_M patient_1
cell_511 M_M patient_1
cell_512 M_M patient_1
cell_513 M_M patient_1
cell_514 M_M patient_1
cell_515 M_M patient_1
cell_516 M_M patient_1
cell_517 M_M patient_1
cell_518 M_M patient_1
cell_519 M_M patient_1
cell_520 M_M patient_1
cell_521 M_M patient_1
cell_522 M_M patient_1
cell_523 M_M patient_1
cell_524 M_M patient_1
cell_525 M_M patient_1
cell_526 M_M patient_1
cell_527 M_M patient_1
cell_528 M_M patient_1
cell_529 M_M patient_1
cell_530 M_M patient_1
cell_531 M_M patient_1
cell_532 M_M patient_1
cell_533 M_M patient_1
cell_534 M_M patient_1
cell_535 M_M patient_1
cell_536 M_M patient_1
cell_537 M_M patient_1
cell_538 M_M patient_1
cell_539 M_M patient_1
cell_540 M_M patient_1
cell_541 M_M patient_1
cell_542 M_M patient_1
cell_543 M_M patient_1
cell_544 M_M patient_1
cell_545 M_M patient_1
cell_546 M_M patient_1
cell_547 M_M patient_1
cell_548 M_M patient_1
cell_549 M_M patient_1
cell_550 M_M patient_1
cell_551 M_M patient_1
cell_552 M_M patient_1
cell_553 M_M patient_1
cell_554 M_M patient_1
cell_555 M_M patient_1
cell_556 M_M patient_1
cell_557 M_M patient_1
cell_558 M_M patient_1
cell_559 M_M patient_1
cell_560 M_M patient_1
cell_561 M_M patient_1
cell_562 M_M patient_1
cell_563 M_M patient_1
cell_564 M_M patient_1
cell_565 M_M patient_1
cell_566 M_M patient_1
cell_567 M_M patient_1
cell_568 M_M patient_1
cell_569 M_M patient_1
cell_570 M_M patient_1
cell_571 M_M patient_1
cell_572 M_M patient_1
cell_573 M_M patient_1
cell_574 M_M patient_1
cell_575 M_M patient_1
cell_576 M_M patient_1
cell_577 M_M patient_1
cell_578 M_M patient_1
cell_579 M_M patient_1
cell_580 M_M patient_1
cell_581 M_M patient_1
cell_582 M_M patient_1
cell_583 M_M patient_1
cell_584 M_M patient_1
cell_585 M_M patient_1
cell_586 M_M patient_1
cell_587 M_M patient_1
cell_588 M_M patient_1
cell_589 M_M patient_1
cell_590 M_M patient_1
cell_591 M_M patient_1
cell_592 M_M patient_1
cell_593 M_M patient_1
cell_594 M_M patient_1
cell_595 M_M patient_1
cell_596 M_M patient_1
cell_597 M_M patient_1
cell_598 M_M patient_1
cell_599 M_M patient_1
cell_600 M_M patient_1
cell_601 M_M patient_1
cell_602 M_M patient_1
cell_603 M_M patient_1
cell_604 M_M patient_1
cell_605 M_M patient_1
cell_606 M_M patient_1
cell_607 M_M patient_1
cell_608 M_M patient_1
cell_609 M_M patient_1
cell_610 M_M patient_1
cell_611 M_M patient_1
cell_612 M_M patient_1
cell_613 M_M patient_1
cell_614 M_M patient_1
cell_615 M_M patient_1
cell_616 M_M patient_1
cell_617 M_M patient_1
cell_618 M_M patient_1
cell_619 M_M patient_1
cell_620 M_M patient_1
cell_621 M_M patient_1
cell_622 M_M patient_1
cell_623 M_M patient_1
cell_624 M_M patient_1
cell_625 M_M patient_1
cell_626 M_M patient_1
cell_627 M_M patient_1
cell_628 M_M patient_1
cell_629 M_M patient_1
cell_630 M_M patient_1
cell_631 M_M patient_1
cell_632 M_M patient_1
cell_633 M_M patient_1
cell_634 M_M patient_1
cell_635 M_M patient_1
cell_636 M_M patient_1
cell_637 M_M patient_1
cell_638 M_M patient_1
cell_639 M_M patient_1
cell_640 M_M patient_1
cell_641 M_M patient_1
cell_642 M_M patient_1
cell_643 M_M patient_1
cell_644 M_M patient_1
cell_645 M_M patient_1
cell_646 M_M patient_1
cell_647 M_M patient_1
cell_648 M_M patient_1
cell_649 M_M patient_1
cell_650 M_M patient_1
cell_651 M_M patient_1
cell_652 M_M patient_1
cell_653 M_M patient_1
cell_654 M_M patient_1
cell_655 M_M patient_1
cell_656 M_M patient_1
cell_657 M_M patient_1
cell_658 M_M patient_1
cell_659 M_M patient_1
cell_660 M_M patient_1
cell_661 M_M patient_1
cell_662 M_M patient_1
cell_663 M_M patient_1
cell_664 M_M patient_1
cell_665 M_M patient_1
cell_666 M_M patient_1
cell_667 M_M patient_1
cell_668 M_M patient_1
cell_669 M_M patient_1
cell_670 M_M patient_1
cell_671 M_M patient_1
cell_672 M_M patient_1
cell_673 M_M patient_1
cell_674 M_M patient_1
cell_675 M_M patient_1
cell_676 M_M patient_1
cell_677 M_M patient_1
cell_678 M_M patient_1
cell_679 M_M patient_1
cell_680 M_M patient_1
cell_681 M_M patient_1
cell_682 M_M patient_1
cell_683 M_M patient_1
cell_684 M_M patient_1
cell_685 M_M patient_1
cell_686 M_M patient_1
cell_687 M_M patient_1
cell_688 M_M patient_1
cell_689 M_M patient_1
cell_690 M_M patient_1
cell_691 M_M patient_1
cell_692 M_M patient_1
cell_693 M_M patient_1
cell_694 M_M patient_1
cell_695 M_M patient_1
cell_696 M_M patient_1
cell_697 M_M patient_1
cell_698 M_M patient_1
cell_699 M_M patient_1
cell_700 M_M patient_1
cell_701 M_M patient_1
cell_702 M_M patient_1
cell_703 M_M patient_1
cell_704 M_M patient_1
cell_705 M_M patient_1
cell_706 M_M patient_1
cell_707 M_M patient_1
cell_708 M_M patient_1
cell_709 M_M patient_1
cell_710 M_M patient_1
cell_711 M_M patient_1
cell_712 M_M patient_1
cell_713 M_M patient_1
cell_714 M_M patient_1
cell_715 M_M patient_1
cell_716 M_M patient_1
cell_717 M_M patient_1
cell_718 M_M patient_1
cell_719 M_M patient_1
cell_720 M_M patient_1
cell_721 M_M patient_1
cell_722 M_M patient_1
cell_723 M_M patient_1
cell_724 M_M patient_1
cell_725 M_M patient_1
cell_726 M_M patient_1
cell_727 M_M patient_1
cell_728 M_M patient_1
cell_729 M_M patient_1
cell_730 M_M patient_1
cell_731 M_M patient_1
cell_732 M_M patient_1
cell_733 M_M patient_1
cell_734 M_M patient_1
cell_735 M_M patient_1
cell_736 M_M patient_1
cell_737 M_M patient_1
cell_738 M_M patient_1
cell_739 M_M patient_1
cell_740 M_M patient_1
cell_741 M_M patient_1
cell_742 M_M patient_1
cell_743 M_M patient_1
cell_744 M_M patient_1
cell_745 M_M patient_1
cell_746 M_M patient_1
cell_747 M_M patient_1
cell_748 M_M patient_1
cell_749 M_M patient_1
cell_750 M_M patient_1
cell_751 M_M patient_1
cell_752 M_M patient_1
cell_753 M_M patient_1
cell_754 M_M patient_1
cell_755 M_M patient_1
cell_756 M_M patient_1
cell_757 M_M patient_1
cell_758 M_M patient_1
cell_759 M_M patient_1
cell_760 M_M patient_1
cell_761 M_M patient_1
cell_762 M_M patient_1
cell_763 M_M patient_1
cell_764 M_M patient_1
cell_765 M_M patient_1
cell_766 M_M patient_1
cell_767 M_M patient_1
cell_768 M_M patient_1
cell_769 M_M patient_1
cell_770 M_M patient_1
cell_771 M_M patient_1
cell_772 M_M patient_1
cell_773 M_M patient_1
cell_774 M_M patient_1
cell_775 M_M patient_1
cell_776 M_M patient_1
cell_777 M_M patient_1
cell_778 M_M patient_1
cell_779 M_M patient_1
cell_780 M_M patient_1
cell_781 M_M patient_1
cell_782 M_M patient_1
cell_783 M_M patient_1
cell_784 M_M patient_1
cell_785 M_M patient_1
cell_786 M_M patient_1
cell_787 M_M patient_1
cell_788 M_M patient_1
cell_789 M_M patient_1
cell_790 M_M patient_1
cell_791 M_M patient_1
cell_792 M_M patient_1
cell_793 M_M patient_1
cell_794 M_M patient_1
cell_795 M_M patient_1
cell_796 M_M patient_1
cell_797 M_M patient_1
cell_798 M_M patient_1
cell_799 M_M patient_1
cell_800 M_M patient_1
cell_801 M_M patient_1
cell_802 M_M patient_1
cell_803 M_M patient_1
cell_804 M_M patient_1
cell_805 M_M patient_1
cell_806 M_M patient_1
cell_807 M_M patient_1
cell_808 M_M patient_1
cell_809 M_M patient_1
cell_810 M_M patient_1
cell_811 M_M patient_1
cell_812 M_M patient_1
cell_813 M_M patient_1
cell_814 M_M patient_1
cell_815 M_M patient_1
cell_816 M_M patient_1
cell_817 M_M patient_1
cell_818 M_M patient_1
cell_819 M_M patient_1
cell_820 M_M patient_1
cell_821 M_M patient_1
cell_822 M_M patient_1
cell_823 M_M patient_1
cell_824 M_M patient_1
cell_825 M_M patient_1
cell_826 M_M patient_1
cell_827 M_M patient_1
cell_828 M_M patient_1
cell_829 M_M patient_1
cell_830 M_M patient_1
cell_831 M_M patient_1
cell_832 M_M patient_1
cell_833 M_M patient_1
cell_834 M_M patient_1
cell_835 M_M patient_1
cell_836 NKC patient_1
cell_837 NKC patient_1
cell_838 NKC patient_1
cell_839 NKC patient_1
cell_840 NKC patient_1
cell_841 NKC patient_1
cell_842 NKC patient_1
cell_843 NKC patient_1
cell_844 NKC patient_1
cell_845 NKC patient_1
cell_846 OCC patient_1
cell_847 OCC patient_1
cell_848 OCC patient_1
cell_849 OCC patient_1
cell_850 OCC patient_1
cell_851 OCC patient_1
cell_852 OCC patient_1
cell_853 OCC patient_1
cell_854 OCC patient_1
cell_855 OCC patient_1
cell_856 OCC patient_1
cell_857 OCC patient_1
cell_858 OCC patient_1
cell_859 OCC patient_1
cell_860 OCC patient_1
cell_861 OCC patient_1
cell_862 OCC patient_1
cell_863 OCC patient_1
cell_864 OCC patient_1
cell_865 unknown patient_1
cell_866 unknown patient_1
cell_867 unknown patient_1
cell_868 unknown patient_1
cell_869 unknown patient_1
cell_870 unknown patient_1
cell_871 unknown patient_1
cell_872 unknown patient_1
cell_873 unknown patient_1
cell_874 unknown patient_1
cell_875 unknown patient_1
cell_876 unknown patient_1
cell_877 unknown patient_1
cell_878 unknown patient_1
cell_879 unknown patient_1
cell_880 unknown patient_1
cell_881 unknown patient_1
cell_882 unknown patient_1
cell_883 unknown patient_1
cell_884 unknown patient_1
cell_885 unknown patient_1
cell_886 unknown patient_1
cell_887 unknown patient_1
cell_888 unknown patient_1
cell_889 unknown patient_1
cell_890 unknown patient_1
cell_891 unknown patient_1
cell_892 unknown patient_1
cell_893 unknown patient_1
cell_894 B_cells patient_2
cell_895 B_cells patient_2
cell_896 B_cells patient_2
cell_897 B_cells patient_2
cell_898 Cancer_fb patient_2
cell_899 Cancer_fb patient_2
cell_900 Cancer_fb patient_2
cell_901 Cancer_fb patient_2
cell_902 Cancer_fb patient_2
cell_903 Cancer_fb patient_2
cell_904 Cancer_fb patient_2
cell_905 Cancer_fb patient_2
cell_906 Cancer_fb patient_2
cell_907 Cancer_fb patient_2
cell_908 Cancer_fb patient_2
cell_909 CD4_tcells patient_2
cell_910 CD4_tcells patient_2
cell_911 CD4_tcells patient_2
cell_912 CD4_tcells patient_2
cell_913 CD4_tcells patient_2
cell_914 CD4_tcells patient_2
cell_915 CD4_tcells patient_2
cell_916 CD4_tcells patient_2
cell_917 CD4_tcells patient_2
cell_918 CD4_tcells patient_2
cell_919 CD4_tcells patient_2
cell_920 CD4_tcells patient_2
cell_921 CD4_tcells patient_2
cell_922 CD4_tcells patient_2
cell_923 CD4_tcells patient_2
cell_924 CD4_tcells patient_2
cell_925 CD4_tcells patient_2
cell_926 CD4_tcells patient_2
cell_927 CD4_tcells patient_2
cell_928 CD4_tcells patient_2
cell_929 CD4_tcells patient_2
cell_930 CD4_tcells patient_2
cell_931 CD4_tcells patient_2
cell_932 CD4_tcells patient_2
cell_933 CD4_tcells patient_2
cell_934 CD4_tcells patient_2
cell_935 CD4_tcells patient_2
cell_936 CD4_tcells patient_2
cell_937 CD4_tcells patient_2
cell_938 CD4_tcells patient_2
cell_939 CD4_tcells patient_2
cell_940 CD4_tcells patient_2
cell_941 CD4_tcells patient_2
cell_942 CD4_tcells patient_2
cell_943 CD4_tcells patient_2
cell_944 CD4_tcells patient_2
cell_945 CD4_tcells patient_2
cell_946 CD4_tcells patient_2
cell_947 CD4_tcells patient_2
cell_948 CD4_tcells patient_2
cell_949 CD4_tcells patient_2
cell_950 CD4_tcells patient_2
cell_951 CD4_tcells patient_2
cell_952 CD4_tcells patient_2
cell_953 CD4_tcells patient_2
cell_954 CD4_tcells patient_2
cell_955 CD4_tcells patient_2
cell_956 CD4_tcells patient_2
cell_957 CD4_tcells patient_2
cell_958 CD4_tcells patient_2
cell_959 CD4_tcells patient_2
cell_960 CD4_tcells patient_2
cell_961 CD4_tcells patient_2
cell_962 CD4_tcells patient_2
cell_963 CD4_tcells patient_2
cell_964 CD4_tcells patient_2
cell_965 CD4_tcells patient_2
cell_966 CD4_tcells patient_2
cell_967 CD4_tcells patient_2
cell_968 CD4_tcells patient_2
cell_969 CD4_tcells patient_2
cell_970 CD4_tcells patient_2
cell_971 CD4_tcells patient_2
cell_972 CD4_tcells patient_2
cell_973 CD4_tcells patient_2
cell_974 CD4_tcells patient_2
cell_975 CD4_tcells patient_2
cell_976 CD4_tcells patient_2
cell_977 CD4_tcells patient_2
cell_978 CD4_tcells patient_2
cell_979 CD4_tcells patient_2
cell_980 CD4_tcells patient_2
cell_981 CD4_tcells patient_2
cell_982 CD4_tcells patient_2
cell_983 CD4_tcells patient_2
cell_984 CD4_tcells patient_2
cell_985 CD4_tcells patient_2
cell_986 CD4_tcells patient_2
cell_987 CD4_tcells patient_2
cell_988 CD4_tcells patient_2
cell_989 CD4_tcells patient_2
cell_990 CD4_tcells patient_2
cell_991 CD4_tcells patient_2
cell_992 CD4_tcells patient_2
cell_993 CD4_tcells patient_2
cell_994 CD4_tcells patient_2
cell_995 CD4_tcells patient_2
cell_996 CD4_tcells patient_2
cell_997 CD4_tcells patient_2
cell_998 CD4_tcells patient_2
cell_999 CD4_tcells patient_2
cell_1000 CD4_tcells patient_2
cell_1001 CD4_tcells patient_2
cell_1002 CD4_tcells patient_2
cell_1003 CD4_tcells patient_2
cell_1004 CD4_tcells patient_2
cell_1005 CD4_tcells patient_2
cell_1006 CD4_tcells patient_2
cell_1007 CD4_tcells patient_2
cell_1008 CD4_tcells patient_2
cell_1009 CD4_tcells patient_2
cell_1010 CD4_tcells patient_2
cell_1011 CD4_tcells patient_2
cell_1012 CD4_tcells patient_2
cell_1013 CD4_tcells patient_2
cell_1014 CD4_tcells patient_2
cell_1015 CD4_tcells patient_2
cell_1016 CD4_tcells patient_2
cell_1017 CD4_tcells patient_2
cell_1018 CD4_tcells patient_2
cell_1019 CD4_tcells patient_2
cell_1020 CD4_tcells patient_2
